Simpson,Shannon,Chao1,ACE,MAP,MAT,LAT,LON,Altitude,pH,SOC,N,BD,NDVI,AI,Acidobacteria,Actinobacteria,Proteobacteria,Verrucomicrobia,chemoheterotrophy,aerobic_chemoheterotrophy,xylanolysis
0.99140335,7.742149277,568.5857143,593.3320266,224.4452479,3.436249244,41.783,111.9,1439,8.154545455,12.28700013,2.131000004,1.406818182,0.230591297,0.155652896,0.087924971,0.622508792,0.237983587,0,0.426844015,0.419588875,
0.993869913,8.024470008,673.3733333,742.0139902,224.4452479,3.436249244,41.783,111.9,1439,8.154545455,12.28700013,2.131000004,1.406818182,0.230591297,0.155652896,0.205499276,0.493487699,0.235890014,0.002894356,0.444234405,0.425330813,
0.994385252,8.198767184,806.5131579,827.7262192,224.4452479,3.436249244,41.783,111.9,1439,8.154545455,12.28700013,2.131000004,1.406818182,0.230591297,0.155652896,0.14939759,0.181927711,0.518072289,0.024096386,0.380757421,0.353121801,
0.994003205,8.178106034,795.045977,833.2133975,224.4452479,3.436249244,41.783,111.9,1439,8.154545455,12.28700013,2.131000004,1.406818182,0.230591297,0.155652896,0.1,0.201941748,0.56407767,0.016504854,0.382743363,0.354719764,
0.995416494,8.232963493,661.8988764,715.4490775,224.4452479,3.436249244,41.783,111.9,1439,8.154545455,12.28700013,2.131000004,1.406818182,0.230591297,0.155652896,0.15123095,0.140679953,0.501758499,0.037514654,0.411347518,0.368794326,
0.994928968,8.114236441,614.5357143,648.4713271,410.2820248,2.34307178,42.01,116.16,1366,8.083367769,15.80799973,3.179000018,1.31839876,0.327047825,0.331401775,0.118329466,0.136890951,0.531322506,0.018561485,0.410377358,0.349056604,
0.993428829,7.758615487,571.1666667,575.3413418,410.2820248,2.34307178,42.01,116.16,1366,8.083367769,15.80799973,3.179000018,1.31839876,0.327047825,0.331401775,0.179372197,0.373692078,0.352765321,0,0.297520661,0.292561983,
0.993981028,7.880152806,627.4444444,736.6282864,410.2820248,2.34307178,42.01,116.16,1366,8.083367769,15.80799973,3.179000018,1.31839876,0.327047825,0.331401775,0.198425197,0.332283465,0.360629921,0.001574803,0.360169492,0.351694915,
0.994423067,7.887330653,669.4285714,628.0839799,410.2820248,2.34307178,42.01,116.16,1366,8.083367769,15.80799973,3.179000018,1.31839876,0.327047825,0.331401775,0.175531915,0.322695035,0.370567376,0.00177305,0.343283582,0.343283582,
0.99445192,7.871138517,471.2638889,501.682429,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.120915033,0.336601307,0.447712418,0,0.32721202,0.320534224,
0.99338241,7.8279914,529.4029851,551.1383618,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.124633431,0.414956012,0.369501466,0.001466276,0.417307692,0.415384615,
0.993781013,7.749287217,605.4666667,580.9646599,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.20754717,0.238993711,0.402515723,0.023060797,0.322981366,0.31884058,
0.991348713,7.659748319,498.122449,478.8369845,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.029937934,0.621759766,0.242424242,0,0.266158169,0.258932156,
0.992146712,7.468227309,402.8857143,394.874527,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.024893547,0.735342286,0.100229283,0.000327547,0.354672553,0.323767476,
0.980205597,6.777832873,731.06,763.2209972,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.066780822,0.084760274,0.757705479,0,0.049322493,0.044444444,
0.991947017,7.552890127,492.7567568,443.7945277,203.1431818,6.253857446,39.1864,100.715,1866,8.241095041,6.099999905,1.613200027,1.416696281,0.119456522,0.126339018,0.075675676,0.69009009,0.139459459,0.00036036,0.363791631,0.338172502,
0.991317522,7.306791225,380.2857143,367.7736298,203.1431818,6.253857446,39.1864,100.715,1866,8.241095041,6.099999905,1.613200027,1.416696281,0.119456522,0.126339018,0.007786885,0.747336066,0.081557377,0.000204918,0.333613093,0.318925724,
0.994523205,7.980175497,479.5138889,483.0749509,430.7606818,-0.471214351,37.2939,100.5836,3383,7.902164773,35.51308777,3.430000041,1.213655682,0.383673906,0.385488663,0.039253539,0.667310167,0.14993565,0.004504505,0.430093209,0.390146471,
0.992602227,7.544343428,416,392.1133897,203.1431818,6.253857446,39.1864,100.715,1866,8.241095041,6.099999905,1.613200027,1.416696281,0.119456522,0.126339018,0.04021879,0.679214929,0.138030888,0,0.401606426,0.334136546,
